package,title,url,format,id
behindertenparkplaetze,Behindertenparkplätze als CSV,https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Abehindertenparken&outputFormat=csv,CSV,09448031-d4ff-4ae3-b28f-0aa139a1e84a
behindertenparkplaetze,Behindertenparkplätze als ESRI Shapefile,https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Abehindertenparken&outputFormat=SHAPE-ZIP,SHP,36027ae8-d439-405f-a6f8-14b521e6f1b7
baustellen,Baustellen,https://mobil.trk.de/datex/datex.xml,XML,17b99b0f-24ea-4cf8-8045-2e6cc470fc03
bewohnerparkzonen,Bewohnerparkzonen (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_bewohnerparkzonen&outputFormat=SHAPE-ZIP,SHP,3bd01f83-699a-4f8f-8ed1-cbf05e9787f2
bewohnerparkzonen,Bewohnerparkzonen (CSV),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_bewohnerparkzonen&outputFormat=text%2Fcsv,CSV,0151bc02-51d1-43f9-88ee-7b70ae52223d
blitzer,Blitzer Stationär (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_blitzer_symbole&outputFormat=SHAPE-ZIP,SHP,ea953edf-907e-4230-ac5a-650e1e721a1e
blitzer-strecken,Blitzer Strecken (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_blitzer_strecken&outputFormat=SHAPE-ZIP,SHP,7bc2ae53-9c95-462a-b076-92d694686fc3
blitzer,Blitzer Stationär (CSV),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_blitzer_symbole&outputFormat=text%2Fcsv,CSV,69c015ff-ada7-410c-802e-7effb532ea72
busparkplaetze,Busparkplätze (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_busparkplaetze&outputFormat=SHAPE-ZIP,SHP,7bcd1499-4a82-4e82-ad87-33588a7f1927
escooter-in-karlsruhe,eScooter Karlsruhe (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_escooter&outputFormat=SHAPE-ZIP,SHP,bd26c3fb-a67e-4aec-8c4c-7a39ab6bb1bb
fachplane-baumkataster1,Baumkataster Karlsruhe (neu),https://geoportal.karlsruhe.de/stadtplan_mini/?webmap=e33f1ff620d44bfc849ec4d867dc6bb7,,0c48230e-3042-4408-8512-9f3b0226961f
fussgaengerzone-karlsruhe,Fußgängerzone Karlsruhe (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_fussgaengerzone&outputFormat=SHAPE-ZIP,SHP,77a071ef-5f26-47ed-a1e5-c983fcb592aa
geschwindigkeiten,Geschwindigkeiten (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_geschwindigkeiten&outputFormat=SHAPE-ZIP,SHP,f38a4ae9-911e-4130-9a35-e7b61849a420
motorradparkplaetze,Motorradparkplätze (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_motorradparkplaetze&outputFormat=SHAPE-ZIP,SHP,38001461-bca8-4573-bc18-4752d18b682c
motorradparkplaetze,Motorradparkplätze (CSV),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_motorradparkplaetze&outputFormat=text%2Fcsv,CSV,422191ae-9c32-48d4-aa2c-08311e4a73cc
parkhaeuser,Parkhäuser (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aparkhaeuser&outputFormat=SHAPE-ZIP,SHP,1b1c3ea3-57cc-42f9-ac33-914f815176bc
parkhaeuser,Parkhäuser (CSV),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aparkhaeuser&outputFormat=text%2Fcsv,CSV,1dd355b7-b24a-4215-b3be-fd40c4f44466
parkscheiben-parkplatze,Parkscheiben Parkplätze (CSV),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aparkscheiben&outputFormat=text%2Fcsv,CSV,a8f90a0e-0034-4596-84df-f8e9ffc70c2c
parkscheiben-parkplatze,Parkscheiben Parkplätze (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aparkscheiben&outputFormat=SHAPE-ZIP,SHP,4c07cba2-7790-41ed-97f5-e4632cfab540
parkscheinautomaten,Parkscheinautomaten (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_parkscheinautomaten&outputFormat=SHAPE-ZIP,SHP,3dcf7a03-577c-441b-b81b-c2bc937b0c24
parkscheinautomaten,Parkscheinautomaten (CSV),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_parkscheinautomaten&outputFormat=text%2Fcsv,CSV,35fa3b12-5a31-42f6-9d41-23d1f499b5c3
parkscheinautomatenflachen,Parkscheinautomatenflächen (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_parkscheinautomaten_flaechen&outputFormat=SHAPE-ZIP,SHP,308314b1-4c0f-4f76-bfd9-167f3b4330f3
radnetz-stadt-karlsruhe,Radnetz Karlsruhe (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_radnetz&outputFormat=SHAPE-ZIP,SHP,df48b45c-f43c-4664-b6ee-1cfcc60ecbac
tempo-30-zonen-karlsruhe,Tempo 30 Zonen Karlsruhe (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Atempo30zonen&outputFormat=SHAPE-ZIP,SHP,6fce5021-be95-4e09-98bd-fb7851846f05
tempo-20-zonen-karlsruhe,Tempo 20 Zonen Karlsruhe (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_tempo20zonen&outputFormat=SHAPE-ZIP,SHP,64c92ce8-7f63-4ac1-b8ca-8fe5a22bcc89
verkehrsberuhigte-bereiche,Verkehrsberuhigte Bereiche (Shapefile),https://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Averkehrsberuhigtebereiche&outputFormat=SHAPE-ZIP,SHP,e205c42b-f543-4246-9c7a-3dbddb09c4da
wohnmobilparkplaetze,Wohnmobilparkplätze (Shapefile),http://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_wohnmobilparkplatz&outputFormat=SHAPE-ZIP,SHP,350000d7-8175-468a-9943-232a9e142026
wohnmobilparkplaetze,Wohnmobilparkplätze (CSV),http://mobil.trk.de/geoserver/TBA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=TBA%3Aka_wohnmobilparkplatz&outputFormat=text%2Fcsv,CSV,73c1d24a-5f28-4fd0-bacd-7f3d9e976683
stadtteile,Stadtteile Stadt Karlsruhe - Shapefile,https://geoportal.karlsruhe.de/datenabgabe/Stadtteile_SHP.zip,SHP,b11bc64d-c511-4fec-bc99-7333989ec673
00cb5ea4-9e4b-4697-9f0b-b4474bf13f89
f120ef9b-4aed-480b-9c67-c1301da2b34e